Meckel & Loch ML-45, Improved;Rifle;BLP;125.0;124;31;44.5;5.000;2400;29.000;318.00;0;2.972;64.0;No;Looted; 
Meckel & Loch ML-65 (L);Rifle;BLP;138.0;121;37;51.9;2.360;2650;28.860;244.00;0;2.914;59.6;Yes;Looted; 
Meckel & Loch PSG-45 Sniper;Rifle;BLP;165.0;188;8;17.4;44.000;400;48.000;585.00;60014.00 PED;2.722;46.0;No;Looted; 
Megingjord Turret Mk1 (C,L);Attached;BLP;1020.5;526;0;0;0.000;12927;129.270;37.00;0;2.828;53.3;Yes;Crafted; 
Mez-1 EnergyGlove;Melee;Power Fist;3.0;15;61;10.6;5.311;0;5.311;35.00;230.00 PED;1.963;4.0;No;Crafted; 
Microdot Majere's BFK (L);Melee;Shortblades;5.0;39;60;27.1;9.520;0;9.520;162.00;0;2.847;54.7;Yes;Looted; 
Mir-1 EnergyGlove;Melee;Power Fist;3.0;4;92;4.3;1.480;0;1.480;14.00;300.00 PED;1.878;7.0;No;Crafted; 
Mir-2 EnergyGlove;Melee;Power Fist;3.0;5;92;5.3;1.960;0;1.960;17.50;300.00 PED;1.773;4.6;No;Crafted; 
Mirath Fatal Shot (L);Rifle;Laser;81.4;19;38;8.4;0.156;438;4.536;70.00;100.00%;2.911;59.4;Yes;Looted; 
Mirath Long Shot (L);Rifle;Laser;77.0;14;38;6.2;0.156;323;3.386;70.00;117.43%;2.874;56.6;Yes;Looted; 
Mirath Sharp Shot (L);Rifle;Laser;73.7;10;38;4.4;0.156;231;2.466;70.00;111.80%;2.818;52.6;Yes;Looted; 
Modec VXT 100 (L);Carbine;Laser;77.0;5;62;3.6;0.030;118;1.210;0.96;0;2.872;56.5;Yes;Looted; 
Modec VXT 300 (L);Carbine;Laser;86.9;31;55;19.7;0.774;674;7.514;31.00;131.75%;2.867;56.1;Yes;Crafted, Looted; 
Modec VXT 700 (L);Carbine;Laser;83.6;31;56;20.1;0.774;668;7.454;29.00;137.00%;2.890;57.8;Yes;Looted; 
Modec VXT 900 (L);Carbine;Laser;90.2;49;63;35.8;1.568;1024;11.808;63.00;0;2.884;57.3;Yes;Looted; 
Monria Boxing Gloves 12oz Lightweight (F,L);Melee;Power Fist;4.0;6;72;5.0;0;0;0;15.00;0;0;61.0;Yes;Crafted; 
Monria Boxing Gloves 12oz Lightweight (M,L);Melee;Power Fist;4.0;6;72;5.0;0;0;0;15.00;0;0;61.0;Yes;Crafted; 
Monria Boxing Gloves 18oz Lightweight (F,L);Melee;Power Fist;4.0;9;48;5.0;0;0;0;22.50;0;0;61.0;Yes;Crafted; 
Monria Boxing Gloves 18oz Lightweight (M,L);Melee;Power Fist;4.0;9;48;5.0;0;0;0;22.50;0;0;61.0;Yes;Crafted; 
Monria Boxing Gloves 36oz Middleweight (F,L);Melee;Power Fist;4.0;18;72;15.0;0;0;0;45.00;0;0;61.0;Yes;Crafted; 
Monria Boxing Gloves 36oz Middleweight (M,L);Melee;Power Fist;4.0;18;72;15.0;0;0;0;45.00;0;0;61.0;Yes;Crafted; 
Monria Boxing Gloves 54oz Middleweight (F,L);Melee;Power Fist;4.0;27;48;15.0;0;0;0;67.50;0;0;61.0;Yes;Crafted; 
Monria Boxing Gloves 54oz Middleweight (M,L);Melee;Power Fist;4.0;27;48;15.0;0;0;0;67.50;0;0;61.0;Yes;Crafted; 
Monria Boxing Gloves 70oz Heavyweight (F,L);Melee;Power Fist;4.0;30;72;25.0;0;0;0;75.00;0;0;61.0;Yes;Crafted; 
Monria Boxing Gloves 70oz Heavyweight (M,L);Melee;Power Fist;4.0;30;72;25.0;0;0;0;75.00;0;0;61.0;Yes;Crafted; 
Monria Boxing Gloves 90oz Heavyweight (F,L);Melee;Power Fist;4.0;45;48;25.0;0;0;0;112.50;0;0;61.0;Yes;Crafted; 
Monria Boxing Gloves 90oz Heavyweight (M,L);Melee;Power Fist;4.0;45;48;25.0;0;0;0;112.50;0;0;61.0;Yes;Crafted; 
Montgomery Anabolic;Carbine;Laser;57.2;47;37;20.1;1.285;1000;11.285;4160.00;1800.00 PED;2.895;58.1;Yes;Crafted; 
Montgomery Anabolic (L);Carbine;Laser;57.2;47;37;20.1;1.160;1000;11.160;198.00;0;2.927;60.6;Yes;Crafted; 
Montgomery Anabolic (L) Adapted;Carbine;Laser;66.0;62;50;35.9;1.482;1300;14.482;893.00;0;2.975;64.3;Yes;Crafted; 
Montgomery Diabolic;Carbine;Laser;63.8;57;43;28.4;1.621;1200;13.621;5110.00;12000.00 PED;2.908;59.2;Yes;Crafted; 
Montgomery Diabolic (L);Carbine;Laser;63.8;57;43;28.4;1.470;1200;13.470;245.00;0;2.941;0;Yes;Crafted; 
Moonshine PBP-32 (L);Pistol;BLP;33.0;39;85;38.4;0;905;0;39.00;0;0;56.7;Yes;Looted;Skill Gain - BLP Weapons 1%
Moonshine PBP-62 (L);Pistol;BLP;35.2;68;74;58.3;1.666;1477;16.436;181.00;0;2.875;56.8;Yes;Looted;Skill Gain - BLP Weapons 2%
Moonshine PBR-32 (L);Rifle;BLP;55.0;61;55;38.9;0.590;1415;14.740;61.10;0;2.876;56.7;Yes;Looted;Skill Gain - BLP Weapons 1%
Moonshine PBR-62 (L);Rifle;BLP;65.0;90;56;58.4;0;1954;0;307.00;0;0;56.8;Yes;Looted;Skill Gain - BLP Weapons 2%
Moonshine PLP-32 (L);Pistol;Laser;35.2;45;74;38.6;0.434;1044;10.874;45.00;0;2.876;56.7;Yes;Looted;Skill Gain - Laser Weapons 1%
Moonshine PLP-62 (L);Pistol;Laser;34.0;72;71;59.2;1.790;1561;17.400;182.50;0;2.876;56.7;Yes;Looted;Skill Gain - Laser Weapons 2%
Moonshine PLR-32 (L);Rifle;Laser;57.2;74;45;38.6;0;1716;0;75.00;0;0;56.7;Yes;Looted;Skill Gain - Laser Weapons 1%
Moonshine PLR-62 (L);Rifle;Laser;72.2;116;44;59.1;0;2516;0;456.00;0;0;56.7;Yes;Looted;Skill Gain - Laser Weapons 2%
Mothership Gun Turret (L);Attached;Laser;87.0;350;1.57;6.4;0.000;10000;100.000;0;0;2.433;0;0;0; 
M-Ray 1000 Laser Pistol;Pistol;Laser;25.3;9;42;4.4;0.070;210;2.170;17.30;0;2.882;57.2;Yes;Crafted; 
M-Ray 1000 Laser Pistol (L);Pistol;Laser;25.3;9;42;4.4;0;210;0;17.30;0;0;57.2;Yes;Crafted; 
M-Ray 2000 Laser Pistol (L);Pistol;Laser;29.0;11;51;6.5;0;250;0;29.75;0;0;59.0;Yes;Crafted; 
MRL AV30 (L);Attached;Rocket;130.0;129;17;25.4;5.500;2600;31.500;72.10;0;2.846;54.4;Yes;Crafted; 
Mux-1 EnergyGlove;Melee;Power Fist;3.0;6;92;6.4;2.584;0;2.584;19.95;320.00 PED;1.614;3.0;No;Crafted; 
Mux-2 EnergyGlove;Melee;Power Fist;3.0;8;79;7.3;3.878;0;3.878;27.50;5.00 PED;1.434;0.2;No;Crafted; 
Naglfar Anti Air Cannon Mk1 (L);Attached;BLP;160.0;164;0;0;0.000;4027;40.270;29.00;0;2.830;53.4;Yes;Crafted; 
Naglfar Turret Mk. 1 (C,L);Attached;Rocket;1029.3;372;0;0;0.000;9143;91.430;31.00;0;2.828;53.3;Yes;Crafted; 
Nano Dai-Katana (L);Melee;Longblades;5.0;71;57;46.9;17.000;0;17.000;356.00;0;2.903;59.7;Yes;Crafted; 
Nano Dai-Katana, SGA Edition;Melee;Longblades;5.0;71;57;46.9;17.207;0;17.207;356.00;0;2.868;56.1;Yes;Crafted; 
Nano Katana;Melee;Longblades;5.0;64;55;40.8;15.225;0;15.225;7328.00;0;2.922;60.1;Yes;Crafted; 
Nano Katana (L);Melee;Longblades;5.0;64;55;40.8;15.000;0;15.000;302.00;0;2.965;63.9;Yes;Crafted; 
Newlander Knife (L);Melee;Shortblades;4.0;24;44;12.2;0;0;0;11.00;0;0;56.7;Yes;Crafted; 
NI Basic Longblade (L);Melee;Longblades;7.0;11;33;4.2;0;0;0;15.00;0;0;57.4;Yes;TT NI & SI; 
NIP;Pistol;Laser;55.0;8;44;4.1;0.020;200;2.020;3.80;0;2.752;48.0;Yes;Mission; 
NIP P1 (L);Pistol;Laser;55.0;18;48;10.0;2.038;250;4.538;12.00;0;2.757;48.3;Yes;Crafted; 
NIP P2 (L);Pistol;Laser;55.0;27;51;16.0;3.800;300;6.800;27.00;0;2.760;48.8;Yes;Crafted; 
NIP P3 (L);Pistol;Laser;55.0;40;56;25.9;0;350;0;70.00;0;0;49.7;Yes;Crafted; 
NIP P4 (L);Pistol;Laser;55.0;47;61;33.2;0;400;0;104.00;0;0;50.4;Yes;Crafted; 
NIP P5 (L);Pistol;Laser;55.0;68;67;52.8;12.666;450;17.166;150.00;0;2.753;51.3;Yes;Crafted; 
Noob Club (L);Melee;Clubs;9.0;6;33;2.3;1.451;0;1.451;5.00;0.00%;2.874;56.6;Yes;Looted; 
Nuskha Contribution (L);Melee;Longblades;9.0;30;41;14.2;0;0;0;260.00;0;0;58.5;Yes;Looted; 
Odin;Carbine;Laser;55.0;49;51;28.9;2.380;1000;12.380;155.00;0;2.751;47.6;No;Crafted; 
Old Jack's Nimble HK (L);Rifle;Laser;71.5;50;56;32.4;1.200;1100;12.200;100.00;0;2.848;54.7;Yes;Looted; 
Old Pirates Pistol (L);Pistol;BLP;18.7;13;70;10.5;0;284;0;25.50;0;0;56.3;Yes;Looted; 
Omegaton ASG-1 Pig;Rifle;BLP;15.4;82;26;24.7;3.110;1700;20.110;165.00;0;2.834;53.6;No;Looted; 
Omegaton ASG-2 Swine Deluxe;Rifle;BLP;19.8;123;41;58.4;20.811;2400;44.811;223.00;15000.00 PED;1.908;7.8;No;Looted; 
Omegaton ASG-3 Warthog;Rifle;BLP;16.5;94;32;34.8;5.020;1800;23.020;678.00;1400.00 PED;2.838;45.4;No;Looted; 
Omegaton ASG-3 Warthog, Adjusted;Rifle;BLP;18.7;97;35;39.3;5.020;1800;23.020;678.00;10000.00 PED;2.929;60.7;No;2005 Event Reward; 
Omegaton ASG-3 Warthog, SGA Edition;Rifle;BLP;19.8;97;32;36.0;0;1800;0;254.00;0;0;51.3;No;Looted; 
Omegaton ASG-4 Wildboar (L);Rifle;BLP;26.4;72;58;48.4;0.300;1690;17.200;52.00;0;2.909;59.2;Yes;Looted; 
Omegaton ASG-12 Bucketful;Rifle;BLP;30.8;82;50;47.5;1.270;1830;19.570;176.00;0;2.912;59.4;Yes;Looted; 
Omegaton ASG-12 Bucketful (L);Rifle;BLP;30.8;82;50;47.5;1.270;1830;19.570;176.00;138.00%;2.912;59.4;Yes;Looted; 
Omegaton ASG-12 Bucketful, CDF Edition (L);Rifle;BLP;30.8;82;50;47.5;0.004;1957;19.574;0.80;0;2.912;59.4;Yes;Daily Token Trader; 
Omegaton ASG-12 Fletcher (L);Rifle;BLP;40.7;91;48;50.6;1.600;2010;21.700;185.00;110.00%;2.915;59.6;Yes;Looted; 
Omegaton ASG-12 Fletcher, CDF Edition (L);Rifle;BLP;40.7;91;48;50.6;0.004;2170;21.704;0.80;0;2.914;59.6;Yes;Daily Token Trader; 
Omegaton ASG-12 Fragfire (L);Rifle;BLP;33.0;139;42;67.6;3.150;2955;32.700;389.00;0;2.954;62.7;Yes;Looted; 
Omegaton ASG-12 Fragfire, CDF Edition (L);Rifle;BLP;33.0;139;42;67.6;0.005;3270;32.705;1.00;0;2.954;62.6;Yes;Daily Token Trader; 
Omegaton Bur Ning (L);Melee;Shortblades;4.0;96;46;51.2;22.907;0;22.907;230.00;0;2.913;59.5;Yes;Crafted; 
Omegaton Caus Tik (L);Melee;Longblades;5.0;129;34;50.8;30.758;0;30.758;310.00;0;2.915;59.6;Yes;Crafted; 
Omegaton Chillwind (L);Melee;Shortblades;4.0;112;49;63.6;0;0;0;269.00;0;0;58.3;Yes;Crafted; 
Omegaton Flashfire;Melee;Shortblades;4.0;84;44;42.8;20.502;0;20.502;12080.00;0;2.848;54.7;Yes;Crafted; 
Omegaton Flashfire (L);Melee;Shortblades;4.0;84;44;42.8;20.257;0;20.257;203.00;0;2.882;57.2;Yes;Crafted; 
Omegaton Flashfire, SGA Edition (L);Melee;Shortblades;4.0;86;44;43.8;0;0;0;203.00;0;0;57.2;Yes;0; 
Omegaton Frostbite (L);Melee;Longblades;5.0;152;36;63.4;36.463;0;36.463;365.00;0;2.897;58.3;Yes;Crafted; 
Omegaton Full Spectrum Sword (L);Melee;Longblades;5.0;162;37;69.4;0;0;0;388.00;0;0;59.2;Yes;Crafted; 
Omegaton Igni L1000;Pistol;Laser;28.6;40;61;28.3;0.820;890;9.720;148.00;0;2.860;55.6;Yes;Looted; 
Omegaton Igni L1000 (L);Pistol;Laser;28.6;40;61;28.3;0.764;890;9.664;78.00;115.00%;2.877;55.6;Yes;Looted; 
Omegaton Igni L1000, CDF Edition (L);Pistol;Laser;28.6;40;61;28.3;0.003;972;9.723;0.60;0;2.859;55.5;Yes;Daily Token Trader; 
Omegaton Igni L1010 (L);Pistol;Laser;26.4;44;65;33.1;0.890;979;10.680;88.00;0;2.863;55.8;Yes;Looted; 
Omegaton Igni L1010, CDF Edition (L);Pistol;Laser;26.4;44;65;33.1;0.003;1068;10.683;0.60;0;2.862;55.8;Yes;Daily Token Trader; 
Omegaton Igni L1011 (L);Pistol;Laser;28.6;53;61;37.4;0.990;1185;12.840;97.00;140.00%;2.869;56.2;Yes;Looted; 
Omegaton Igni L1011, CDF Edition (L);Pistol;Laser;28.6;53;61;37.4;0.003;1284;12.843;0.60;0;2.868;56.2;Yes;Daily Token Trader; 
Omegaton Igni L1011, MM Edition (L);Pistol;Laser;28.6;53;61;37.4;0.010;1283;12.840;1.00;0;2.869;56.2;Yes;Looted; 
Omegaton Igni L1011, RX Edition (L);Pistol;Laser;28.6;53;61;37.4;0.010;1283;12.840;1.00;13500.00%;2.869;56.2;Yes;Looted; 
Omegaton Igni L1100 (L);Pistol;Laser;35.2;70;54;43.8;1.140;1560;16.740;122.00;132.00%;2.906;59.0;Yes;Looted; 
Omegaton Igni L1100, CDF Edition (L);Pistol;Laser;35.2;70;54;43.8;0.003;1674;16.743;0.60;0;2.906;59.0;Yes;Daily Token Trader; 
Omegaton Igni L1100E;Pistol;Laser;30.8;73;56;47.4;1.260;1615;17.410;160.00;0;2.914;59.7;Yes;Looted; 
Omegaton Igni L1100E (L);Pistol;Laser;30.8;73;56;47.4;1.255;1615;17.405;160.00;130.00%;2.915;59.7;Yes;Looted; 
Omegaton Igni L1100E, CDF Edition (L);Pistol;Laser;30.8;73;56;47.4;0.004;1740;17.404;0.80;0;2.915;59.7;Yes;Daily Token Trader; 
Omegaton Igni L1200 (L);Pistol;Laser;37.4;85;60;59.1;1.520;1868;20.200;214.00;0;2.925;60.4;Yes;Looted; 
Omegaton Igni L1200, CDF Edition (L);Pistol;Laser;37.4;85;60;59.1;0.005;2020;20.205;1.00;0;2.924;60.3;Yes;Daily Token Trader; 
Omegaton Igni L1210 (L);Pistol;Laser;36.3;82;65;61.7;1.440;1799;19.430;216.00;115.00%;2.933;61.0;Yes;Looted; 
Omegaton Igni L1210, CDF Edition (L);Pistol;Laser;36.3;82;65;61.7;0.005;1943;19.435;1.00;0;2.932;61.0;Yes;Daily Token Trader; 
Omegaton Igni L2000 (L);Pistol;Laser;37.4;84;68;66.2;1.520;1829;19.810;231.00;0;2.947;62.1;Yes;Looted; 
Omegaton Igni L2000, CDF Edition (L);Pistol;Laser;37.4;84;68;66.2;0.005;1981;19.815;1.00;0;2.946;62.0;Yes;Daily Token Trader; 
Omegaton Igni L2020 (L);Pistol;Laser;31.9;85;69;67.9;1.552;1843;19.982;233.00;0;2.956;62.8;Yes;Looted; 
Omegaton Igni L2020, CDF Edition (L);Pistol;Laser;31.9;85;69;67.9;0.005;1998;19.985;1.00;0;2.956;62.8;Yes;Daily Token Trader; 
Omegaton Jupiter (L);Melee;Longblades;5.0;141;35;57.2;0;0;0;339.00;0;0;58.1;Yes;Crafted; 
Omegaton Kaleidoscopic Nightmare (L);Melee;Shortblades;4.0;118;50;68.3;0;0;0;283.00;0;0;58.3;Yes;Crafted; 
Omegaton Lightning Dagger (L);Melee;Shortblades;4.0;105;47;57.2;0;0;0;251.00;0;0;59.1;Yes;Crafted; 
Omegaton M61A5;Rifle;Laser;120.0;77;23;20.5;2.500;1700;19.500;250.00;0;2.744;49.3;No;Looted; 
Omegaton M61A5, Adjusted;Rifle;Laser;115.0;102;32;37.8;0.120;2300;23.120;320.00;45000.00 PED;3.066;71.6;No;Looted; 
Omegaton M71A1;Rifle;Laser;155.0;80;30;27.8;1.300;1800;19.300;240.00;0;2.881;58.6;No;Looted; 
Omegaton M71A2;Rifle;Laser;155.0;85;32;31.5;1.300;1900;20.300;280.00;4100.00 PED;2.910;59.3;No;Looted; 
Omegaton M71A2, Ancient;Rifle;Laser;200.0;85;32;31.5;0;1900;0;280.00;0;0;59.3;No;Pregold; 
Omegaton M71A2, Modified;Rifle;Laser;160.0;156;38;68.7;0;3300;0;15000.00;0;0;73.1;No;MA Owned; 
Omegaton M83 Predator;Carbine;Laser;89.1;139;37;59.6;2.400;3058;32.980;345.00;11000.00 PED;2.929;60.7;Yes;Looted; 
Omegaton M83 Predator (L);Carbine;Laser;89.1;139;37;59.6;2.400;3058;32.980;245.00;0;2.929;60.7;Yes;Looted; 
Omegaton M83 Predator, CDF Edition (L);Carbine;Laser;89.1;139;37;59.6;0.005;3298;32.985;1.00;0;2.929;60.7;Yes;Daily Token Trader; 
Omegaton M87 Prowler (L);Carbine;Laser;95.7;116;54;72.6;2.264;2496;27.224;312.00;0;2.961;63.2;Yes;Looted; 
Omegaton M87 Prowler, CDF Edition (L);Carbine;Laser;95.7;116;54;72.6;0.005;2722;27.225;1.00;0;2.961;63.2;Yes;Daily Token Trader; 
Omegaton M91 Stalker (L);Carbine;Laser;100.1;116;55;73.9;2.350;2478;27.130;356.00;0;2.972;64.0;Yes;Looted; 
Omegaton M91 Stalker, Augmented;Carbine;Laser;96.8;165;46;87.9;3.910;3419;38.100;560.00;0;3.010;67.0;Yes;Looted; 
Omegaton M91 Stalker, CDF Edition (L);Carbine;Laser;100.1;116;55;73.9;0.005;2713;27.135;1.00;0;2.971;64.0;Yes;Daily Token Trader; 
Omegaton M2100;Pistol;Laser;22.0;4;44;2.0;0.020;100;1.020;2.20;500.00 PED;2.725;46.2;Yes;Old Time Calypso TT; 
Omegaton M2100A1 (L);Pistol;Laser;26.4;5;70;4.1;0.018;118;1.198;3.00;100.00%;2.901;58.2;Yes;Calypso TT; 
Omegaton M2200;Pistol;Laser;22.0;3;40;1.4;0.020;100;1.020;2.00;0;2.044;12.0;No;Looted; 
Omegaton M2201;Pistol;Laser;22.0;4;75;3.5;0.020;100;1.020;3.00;500.00 PED;2.725;46.2;No;Looted; 
Omegaton M2201A1;Pistol;Laser;27.5;8;55;5.1;0.030;200;2.030;6.00;0;2.739;47.1;No;Looted; 
Omegaton M2722;Pistol;Laser;33.0;22;40;10.2;0.520;500;5.520;33.00;109.00 PED;2.770;49.2;No;Looted; 
Omegaton M2722, Adjusted;Pistol;Laser;44.0;31;60;21.5;0.490;700;7.490;250.00;0;2.877;56.8;No;Looted; 
Omegaton M2725, Mentor Edition;Pistol;Laser;33.0;25;43;12.5;1.000;500;6.000;33.00;0;2.896;58.2;No;Mentoring; 
Omegaton M2732;Pistol;Laser;33.0;25;40;11.6;0.250;600;6.250;38.00;119.00 PED;2.780;49.9;No;Looted; 
Omegaton M2732A1;Pistol;Laser;33.0;26;40;12.0;0.470;600;6.470;45.00;0;2.793;50.8;No;Looted; 
Omegaton M2870;Pistol;Laser;33.0;36;50;20.9;0.820;800;8.820;66.00;0;2.837;53.9;No;Looted; 
Omegaton M2870, Ancient (range 38.5);Pistol;Laser;38.5;36;50;20.9;0.900;800;8.900;66.00;0;2.811;53.9;No;Pregold; 
Omegaton M2870, Ancient (range 55.0);Pistol;Laser;55.0;36;50;20.9;0;800;0;66.00;0;0;53.9;No;Pregold; 
Omegaton M2870, Improved;Pistol;Laser;44.0;63;67;48.9;0.500;1400;14.500;1350.00;25000.00 PED;3.020;67.8;No;Looted; 
Omegaton M2870, Improved, SGA Edition;Pistol;Laser;44.0;65;67;50.4;0.957;1400;14.957;1350.00;40000.00 PED;3.020;67.8;No;Looted; 
Omegaton M2875;Pistol;Laser;33.0;44;60;30.6;0.650;1000;10.650;89.00;0;2.871;56.4;No;Looted; 
Omegaton M2890;Pistol;Laser;33.0;48;48;26.7;0.600;1100;11.600;110.00;0;2.876;56.7;No;Looted; 
Omegaton M2910;Pistol;Laser;22.0;51;55;32.5;1.200;1100;12.200;160.00;0;2.905;58.9;No;Looted; 
Omegaton M2930;Pistol;Laser;30.8;54;30;18.8;2.200;1100;13.200;175.00;0;2.843;55.1;No;Looted; 
Omegaton M2930, Mentor Edition;Pistol;Laser;39.6;57;60;39.6;2.000;1200;14.000;175.00;0;2.830;53.4;No;Mentoring; 
Omegaton Mayhem Power Claw Cleaver, Modified;Melee;Power Fist;4.0;55;81;51.6;13.177;0;13.177;1000.00;0;2.901;78.6;Yes;Mayhem NPC; 
Omegaton Neptune (L);Melee;Shortblades;5.0;85;67;66.0;20.000;0;20.000;350.00;0;2.954;62.1;Yes;Looted; 
Omegaton Neptune, MM Edition (L);Melee;Shortblades;5.0;85;67;66.0;0.008;2003;20.038;1.00;0;2.948;62.2;Yes;Looted; 
Omegaton Power Claw, Mentor Edition;Melee;Power Fist;4.0;20;63;14.6;4.913;0;4.913;127.00;0;2.829;53.4;Yes;Mentoring; 
Omegaton Power Claw Cleaver (L);Melee;Power Fist;4.0;55;73;46.5;13.177;0;13.177;175.00;0;2.901;58.6;Yes;Looted; 
Omegaton Power Claw Piercer (L);Melee;Power Fist;4.0;33;61;23.3;7.943;0;7.943;99.00;0;2.887;57.6;Yes;Looted; 
Omegaton Power Claw Stabber (L);Melee;Power Fist;4.0;45;66;34.4;10.809;0;10.809;137.00;0;2.893;58.0;Yes;Looted; 
Omegaton Prismatic Enblade (L);Melee;Shortblades;5.0;87;72;72.6;20.398;0;20.398;410.00;0;2.964;63.4;Yes;Looted; 
Omegaton Saturn (L);Melee;Shortblades;5.0;92;66;70.3;21.600;0;21.600;398.00;1400.00%;2.960;63.1;Yes;Looted; 
Omegaton Sunstorm (L);Melee;Longblades;5.0;113;33;43.2;27.051;0;27.051;271.00;0;2.903;58.8;Yes;Crafted; 
Omegaton Z1001;Pistol;BLP;22.0;20;33;7.6;2.100;300;5.100;60.00;0;2.725;46.2;No;Looted; 
Omegaton Z1002;Pistol;BLP;33.0;29;43;14.4;3.200;400;7.200;92.00;25.00 PED;2.799;51.3;No;Looted; 
Omegaton Z1002A1;Pistol;BLP;33.0;32;46;17.1;2.780;500;7.780;103.00;0;2.859;52.1;No;Looted; 
Omegaton Z1002A1, Ancient;Pistol;BLP;55.0;32;46;17.1;2.780;500;7.780;103.00;0;2.859;52.1;No;Pregold; 
Omegaton Z1101;Pistol;BLP;33.0;39;55;24.8;3.600;600;9.600;115.00;0;2.823;53.0;No;Looted; 
Omegaton Z1102;Pistol;BLP;33.0;40;52;24.1;4.000;600;10.000;130.00;0;2.780;53.5;No;Looted; 
OmegaTrek P36 (L);Pistol;Laser;36.3;59;60;41.0;0;1190;0;171.00;0;0;57.2;Yes;Crafted; 
OmegaTrek P41 (L);Pistol;Laser;36.3;64;60;44.5;0;1287;0;190.00;0;0;0;Yes;Crafted; 
OmegaTrek P46 (L);Pistol;Laser;27.5;70;60;48.7;3.200;1390;17.100;240.00;127.00%;2.845;54.5;Yes;Crafted; 
OmegaTrek P52 (L);Pistol;Laser;0;0;0;0;0;0;0;0;0;0;0;Yes;Crafted; 
Omicron Sticky Launcher;Support;Grenade;131.9;35;37;15.0;0;750;0;10.00;0;0;55.7;Yes;0; 
Oompa Jaw Breaker (L);Melee;Clubs;8.0;35;41;16.6;0;0;0;87.00;0;0;59.9;Yes;Looted; 
Oompa Skull Crusher (L);Melee;Clubs;8.0;50;41;23.7;0;0;0;124.00;0;0;60.0;Yes;Looted; 
Ophidian Blade B-100 (L);Melee;Longblades;7.0;11;33;4.2;2.650;0;2.650;15.00;0;2.885;57.4;Yes;TT; 
Ophidian Blade M1 (L);Melee;Longblades;7.0;9;38;4.0;2.153;0;2.153;15.00;0.00%;2.905;58.9;Yes;Looted; 
Ophidian Blade M2 (L);Melee;Longblades;7.0;14;38;6.2;3.348;0;3.348;28.00;0;2.906;59.0;Yes;Looted; 
Ophidian Blade M3 (L);Melee;Longblades;8.0;18;38;7.9;4.304;0;4.304;36.00;0;2.907;59.0;Yes;Looted; 
Ophidian Blade M4 (L);Melee;Longblades;8.0;21;0;0;0;0;0;42.00;0;0;59.1;Yes;Looted; 
Orgasmatron Axe (L);Melee;Axes;5.0;68;37;29.1;16.180;0;16.180;158.00;0;2.921;60.1;Yes;Looted; 
Orgasmatron Axe (L) Brutal;Melee;Axes;5.0;78;36;32.5;18.590;0;18.590;189.00;0;2.916;59.7;Yes;Looted; 
Ozpyn BP S1X1;Pistol;BLP;36.3;18;39;8.1;0.352;400;4.352;30.00;0;2.875;56.6;Yes;Crafted; 
Ozpyn BP S1X2;Pistol;BLP;36.3;24;42;11.7;1.850;400;5.850;85.00;0;2.851;56.6;Yes;Looted; 
Ozpyn BP S1X3;Pistol;BLP;36.3;31;51;18.3;2.500;500;7.500;110.00;0;2.873;56.5;Yes;Looted; 
Ozpyn BP S1X4;Pistol;BLP;36.3;48;67;37.3;3.611;821;11.821;175.00;0;2.822;52.8;Yes;Tanhok Trader; 
Ozpyn BPX - P1 (L);Pistol;BLP;17.6;5;68;3.9;0.112;110;1.212;9.25;0;2.867;56.1;Yes;Looted; 
Ozpyn BPX - P2 (L);Pistol;BLP;17.6;6;70;4.9;0.144;131;1.454;12.00;0;2.868;56.2;Yes;Looted; 
Ozpyn BPX - P3 (L);Pistol;BLP;18.7;8;69;6.4;0.188;175;1.938;15.50;0;2.869;56.2;Yes;Looted; 
Ozpyn BPX - P4 (L);Pistol;BLP;18.7;13;70;10.5;0.309;284;3.149;25.50;0;2.869;56.3;Yes;Looted; 
Ozpyn BPX - P5 (L);Pistol;BLP;19.8;16;69;12.8;0;350;0;31.00;108.00%;0;56.3;Yes;Looted; 
Ozpyn BPX - P6 (L);Pistol;BLP;20.9;19;70;15.4;0.447;415;4.597;37.00;0;2.873;56.5;Yes;Looted; 
Ozpyn BPX - P7 (L);Pistol;BLP;20.9;23;67;17.8;0;504;0;43.00;0;0;56.6;Yes;Looted; 
Ozpyn BPX - P8 (L);Pistol;BLP;22.0;28;69;22.4;0.669;610;6.769;55.00;100.00%;2.875;56.7;Yes;Looted; 
Ozpyn BPX - P9 (L);Pistol;BLP;22.0;33;67;25.6;0.757;722;7.977;62.00;110.00%;2.875;56.7;Yes;Looted; 
Ozpyn BPX - P11 (L);Pistol;BLP;23.1;42;69;33.6;0;915;0;83.00;0;0;56.8;Yes;Looted; 
Ozpyn BPX - P12 (L);Pistol;BLP;23.1;49;68;38.6;0;1072;0;93.00;0;0;56.8;Yes;Looted; 
Ozpyn BRS - P1 (L);Rifle;BLP;41.8;6;52;3.6;0.140;131;1.450;11.00;0;2.876;56.7;Yes;Looted; 
Ozpyn BRS - P2 (L);Rifle;BLP;44.0;11;52;6.6;0.248;241;2.658;19.50;0;2.876;56.8;Yes;Looted; 
Ozpyn BRS - P3 (L);Rifle;BLP;46.2;14;52;8.4;0.322;306;3.382;25.00;0;2.877;56.8;Yes;Looted; 
Ozpyn BRS - P4 (L);Rifle;BLP;48.4;17;52;10.2;0.405;370;4.105;32.00;0;2.878;56.9;Yes;Looted; 
